AZ,EL,J4,J3,J2,J1
0,29,0,157.5,157.5,0
0,41.4,0,135,135,0
0,51.3,0,112.5,112.5,0
0,60,0,90,90,0
0,68,0,67.5,67.5,0
0,75.5,0,45,45,0
0,82.8,0,22.5,22.5,0
8.1,27.8,22.5,180,157.5,0
9.5,40.5,22.5,157.5,135,0
11.3,50.3,22.5,135,112.5,0
14,59,22.5,112.5,90,0
16,24.5,45,202.5,157.5,0
18.5,66.7,22.5,90,67.5,0
18.5,37.7,45,180,135,0
21.7,47.7,45,157.5,112.5,0
23.1,17.8,67.5,225,157.5,0
26.3,73.7,22.5,67.5,45,0
26.4,56,45,135,90,0
26.5,33,67.5,202.5,135,0
30.9,43.2,67.5,180,112.5,0
33.5,63.2,45,112.5,67.5,0
33.5,25.7,90,225,135,0
36.8,51.3,67.5,157.5,90,0
38.7,36.8,90,202.5,112.5,0
39.8,12.5,112.5,247.5,135,0
45,80,22.5,45,22.5,0
45,70,45,90,45,0
45,58,67.5,135,67.5,0
45,45,90,180,90,0
45,28,112.5,225,112.5,0
50.2,12.5,135,247.5,112.5,0
51.3,36.8,112.5,202.5,90,0
53.1,51.3,90,157.5,67.5,0
56.2,63.2,67.5,112.5,45,0
56.2,25.7,135,225,90,0
59,43.2,112.5,180,67.5,0
63.3,73.8,45,67.5,22.5,0
63.3,56,90,135,45,0
63.3,33,135,202.5,67.5,0
66.8,17.7,157.5,225,67.5,0
68.1,47.7,112.5,157.5,45,0
71.5,66.7,67.5,90,22.5,0
71.5,37.8,135,180,45,0
74,24.6,157.5,202.5,45,0
76,58.9,90,112.5,22.5,0
78.6,50.4,112.5,135,22.5,0
80.5,40.6,135,157.5,22.5,0
81.9,27.8,157.5,180,22.5,0
90,83,22.5,22.5,0,0
90,75.5,45,45,0,0
90,68,67.5,67.5,0,0
90,60,90,90,0,0
90,51.3,112.5,112.5,0,0
90,41.4,135,135,0,0
90,29,157.5,157.5,0,0
98,27.8,180,157.5,0,22.5
99.5,40.5,157.5,135,0,22.5
101.2,50.4,135,112.5,0,22.5
104,59,112.5,90,0,22.5
106,24.5,202.5,157.5,0,45
108.3,66.7,90,67.5,0,22.5
108.5,37.8,180,135,0,45
111.7,47.7,157.5,112.5,0,45
113.1,17.8,225,157.5,0,67.5
116.6,73.8,67.5,45,0,23.5
116.4,56,135,90,0,45
116.5,33,202.5,135,0,67.5
121,43.2,180,112.5,0,67.5
123.7,63.2,112.5,67.5,0,45
123.7,25.6,225,135,0,90
126.8,51.3,157.5,90,0,67.5
128.6,36.8,202.5,112.5,0,67.5
129.8,12.4,247.5,135,0,112.5
135,80,45,22.5,0,22.5
135,69.3,90,45,0,45
135,58,135,67.5,0,67.5
135,45,180,90,0,90
135,27.9,225,112.5,0,112.5
140.25,12.4,247.5,112.5,0,135
141.3,36.9,202.5,90,0,112.5
143.2,51.3,157.5,67.5,0,90
146.3,63.2,112.5,45,0,67.5
146.4,25.6,225,90,0,135
149,43.2,180,67.5,0,112.5
153.6,73.7,67.5,22.5,0,45
153.5,56,135,45,0,90
153.5,33,202.5,67.5,0,135
156.8,17.8,225,67.5,0,157.5
158.3,47.6,157.5,45,0,112.5
161.4,66.8,90,22.5,0,67.5
161.6,37.7,180,45,0,135
164.1,24.4,202.5,45,0,157.5
165.9,59,112.5,22.5,0,90
168.6,50.5,135,22.5,0,112.5
170.5,40.5,157.5,22.5,0,135
171.9,27.8,180,22.5,0,157.5
180,82.8,22.5,0,0,22.5
180,75.5,45,0,0,45
180,68,67.5,0,0,67.5
180,60,90,0,0,90
180,51.4,112.5,0,0,112.5
180,41.4,135,0,0,135
180,28.9,157.5,0,0,157.5
188.1,27.8,157.5,0,22.5,180
189.5,40.6,135,0,22.5,157.5
191.3,50.4,112.5,0,22.5,135
194,59,90,0,22.5,112.5
196,24.5,157.5,0,45,202.5
198.4,66.7,67.5,0,22.5,90
198.4,37.7,135,0,45,180
201.9,47.7,112.5,0,45,157.5
203.3,17.8,157.5,0,67.5,225
206.5,73.8,45,0,22.5,67.5
206.5,56,90,0,45,135
206.6,33,135,0,67.5,202.5
211,43.2,112.5,0,67.5,180
213.7,63.2,67.5,0,45,112.5
213.7,25.7,135,0,90,225
216.9,51.4,90,0,67.5,157.5
218.7,36.8,112.5,0,90,202.5
219.8,12.6,135,0,112.5,247.5
225,80,22.5,0,22.5,45
225,69.3,45,0,45,90
225,58,67.5,0,67.5,135
225,45,90,0,90,180
225,27.8,112.5,0,112.5,225
230.1,12.6,112.5,0,135,247.5
231.3,36.8,90,0,112.5,202.5
233,51.4,67.5,0,90,157.5
236.2,63.3,45,0,67.5,112.5
236.4,25.6,90,0,135,225
239.1,43.2,67.5,0,112.5,180
243.2,73.8,22.5,0,45,67.5
243.3,56,45,0,90,135
243.4,33.1,67.5,0,135,202.5
246.9,17.7,67.5,0,157.5,225
